id,code,name,geoid,riskScore,status,avgTemperature,affectedPopulation
tract-04013615202,04013615202,Census Tract 6152.02,04013615202,33.5,moderate,38.36,3154
tract-04013611500,04013611500,Census Tract 6115,04013611500,33.0,moderate,38.93,7540
tract-04013611600,04013611600,Census Tract 6116,04013611600,32.94,moderate,38.9,2908
tract-04013103219,04013103219,Census Tract 1032.19,04013103219,32.72,moderate,38.61,3461
tract-04013103216,04013103216,Census Tract 1032.16,04013103216,32.6,moderate,38.82,5439
tract-04013108100,04013108100,Census Tract 1081,04013108100,32.56,moderate,38.96,2249
tract-04013611900,04013611900,Census Tract 6119,04013611900,31.86,moderate,38.87,3311
tract-04013116738,04013116738,Census Tract 1167.38,04013116738,31.72,moderate,38.85,6653
tract-04013116703,04013116703,Census Tract 1167.03,04013116703,31.6,moderate,38.71,5527
tract-04013611300,04013611300,Census Tract 6113,04013611300,31.16,moderate,38.89,7453
tract-04013619900,04013619900,Census Tract 6199,04013619900,31.1,moderate,38.67,6270
tract-04013103220,04013103220,Census Tract 1032.20,04013103220,30.78,moderate,38.69,2549
tract-04013105102,04013105102,Census Tract 1051.02,04013105102,30.26,moderate,38.5,4687
tract-04013612302,04013612302,Census Tract 6123.02,04013612302,29.95,moderate,38.77,4824
tract-04013116737,04013116737,Census Tract 1167.37,04013116737,29.83,moderate,38.57,3431
tract-04013610100,04013610100,Census Tract 6101,04013610100,29.12,moderate,38.61,849
tract-04013612301,04013612301,Census Tract 6123.01,04013612301,28.75,moderate,38.75,3778
tract-04013105101,04013105101,Census Tract 1051.01,04013105101,27.96,moderate,38.54,4299
tract-04013612000,04013612000,Census Tract 6120,04013612000,27.76,moderate,38.54,4013
tract-04013610600,04013610600,Census Tract 6106,04013610600,27.27,moderate,38.58,6208
tract-04013615001,04013615001,Census Tract 6150.01,04013615001,26.6,moderate,38.42,6543
tract-04013610500,04013610500,Census Tract 6105,04013610500,26.47,moderate,38.53,7808
tract-04013612200,04013612200,Census Tract 6122,04013612200,26.28,moderate,38.57,6686
tract-04013615201,04013615201,Census Tract 6152.01,04013615201,23.95,low,38.39,6260
tract-04013612401,04013612401,Census Tract 6124.01,04013612401,23.46,low,38.49,4254
tract-04013612700,04013612700,Census Tract 6127,04013612700,23.28,low,38.07,2163
tract-04013612402,04013612402,Census Tract 6124.02,04013612402,22.38,low,38.46,4635
tract-04013612800,04013612800,Census Tract 6128,04013612800,22.14,low,38.13,2373
tract-04013612500,04013612500,Census Tract 6125,04013612500,19.78,low,38.11,4101
tract-04013612600,04013612600,Census Tract 6126,04013612600,19.29,low,38.12,2173
tract-04013613300,04013613300,Census Tract 6133,04013613300,19.26,low,38.16,7168
tract-04013615100,04013615100,Census Tract 6151,04013615100,18.9,low,38.28,4586
tract-04013612900,04013612900,Census Tract 6129,04013612900,17.88,low,38.05,2654
tract-04013613000,04013613000,Census Tract 6130,04013613000,10.48,low,37.64,5727
